	UID	昵称	分区	性别	粉丝数	投稿数	获赞数	播放数
0	1773346	莴苣某人 	游戏	男	548.5	258	1462	51000
1	25876945	极客湾Geekerwan 	科技	男	370.6	400	1903.2	33000
2	296092268	碎嘴企鹅 	游戏	男	245.7	171	3253.1	25000
3	517327498	罗翔说刑法 	知识	男	2956.6	353	8482.7	85000
4	113362335	老实憨厚的笑笑 	游戏	男	278.3	3273	687.6	65000
5	1629347259	红警HBK08 	游戏	男	166.2	2374	4919.2	91000
6	378885845	HOPICO 	音乐	男	159.5	326	582.1	9312
7	2200736	帕梅拉PamelaReif	生活	男	159.5	88	1714.3	12000
8	544336675	真探唐仁杰 	生活	男	412.3	830	8615.1	145000
9	11870568	拉宏桑 	生活	女	388.4	768	3561	44000
10	471303350	大狸子切切里 	科技	女	222.3	643	899.1	19000
11	17819768	电影最TOP 	影视	男	547.1	884	2716.2	73000
12	1869712375	山城小栗旬的理发日记 	生活	男	378.2	173	3193.4	49000
13	686127	籽岷 	游戏	男	434.3	156	5566	125000
14	280793434	手工耿 	生活	男	778.1	221	5137.2	83000
15	259333	矮乐多Aliga 	音乐	女	152	537	1274.7	15000
16	437744340	CSGO久菜合子 	游戏	男	103.3	215	656.6	13000
17	63231	泛式 	动画	男	564.7	403	5326.9	70000
18	39737405	学过石油的语文老师 	知识	男	630.8	534	1469.9	24000
19	520031712	天才女友GG 	知识	女	97	237	292.5	6610.3
20	26032219	FoFTG 	游戏	女	258.9	740	3199.8	48000
21	7946432	利维坦mY 	游戏	女	130.2	525	1300.6	20000
22	369750017	好运的鱼	游戏	女	258.7	112	411	17000
23	10874201	老番茄	游戏	男	178.4	125	1179.1	18000
24	3353026	zc	游戏	男	238.6	167	2003.2	19000
25	345630501	木糖	游戏	女	221	127	1005.9	12000
26	1420982	青莲	游戏	女	376.1	602	2259.7	28000
27	25422790	森纳映画	游戏	男	104	174	1441.9	16000
28	2206456	水无月菌	游戏	男	579	229	3486	51000
31	25150941	逍遥散人	游戏	合作	164.2	716	944.9	21000
32	26139491	某幻君	游戏	女	359	586	1946.5	36000
33	9824766	保健嫂	美妆	男	927.4	1155	8664.9	151000
34	43222001	朵朵花林	美妆	男	227.2	991	1439.1	23000
35	16794321	小庄	美妆	男	389.9	1269	3311.1	88000
36	279991456	鹦鹉梨	美妆	女	231.5	604	2442.5	34000
37	3766866	小翔哥	美食	男	380.2	1219	1388	47000
38	590490400	大碗拿铁	美食	男	163.3	933	3275.8	30000
39	777536	大翔哥	美食	男	686.3	396	5341.7	112000
40	250111460	盗月社	美食	合作	331	253	893.2	11000
41	549195	黑猫	美食	男	1670.1	416	12000	203000
42	163637592	蛋黄派	美食	男	886.8	143	3403.4	25000
43	279583114	绵阳	美食	男	247.3	188	1675.5	19000
44	19642758	日食记	美食	男	361.3	431	3663	36000
45	519872016	田野上的繁荣	美食	男	275.4	49	464.6	7526.2
46	114110780	小文哥	美食	男	822.2	714	12000	121000
47	282994	翠花	音乐	女	308.5	554	1324.5	12000
48	79061124	朵朵poi	音乐	男	393.1	734	2635.8	63000
49	51896064	凤凰传奇	音乐	男	266.9	262	2028.1	21000
50	517327498	hanser	音乐	男	2024.2	302	5943.1	52000
51	295723	混元	音乐	男	235.5	642	1253.1	27000
52	483879799	九三	音乐	男	289.9	136	1742.1	22000
53	18202105	柳青瑶	音乐	女	898	498	5209.2	73000
54	1577804	冷鸢	音乐	男	717.7	303	4750.8	69000
55	927587	五月树	音乐	男	809.7	1152	4566.8	100000
56	6574487	萱萱	音乐	女	447	321	3053.2	37000
57	27756469	杨可爱	音乐	男	127	50	633.4	5995
58	7487399	朝烟	音乐	男	416.3	505	2643.6	64000
59	414641554	才浅	手工	女	201.6	327	1786.2	31000
60	59905809	机制的kason	手工	男	176.9	178	1596.5	27000
61	604003146	ray的模型世界	手工	女	679.7	178	299.8	17000
62	730732	橘子	鬼畜	男	322.5	320	2117.4	33000
63	5193668	哦呼	鬼畜	男	129.8	268	491.7	6446.2
64	454719565	枪弹轨迹	鬼畜	男	222.6	199	1056.8	17000
65	515993	大象	影视	男	244.7	303	2360.6	38000
66	23604445	小策	影视	女	171.3	170	1488.6	21000
67	648113003	电影最TOP	影视	男	203.8	144	823.5	8631.3
68	4162287	狂阿弥	影视	男	569.7	429	2266.8	53000
69	39627524	木鱼水心	影视	男	228.8	680	1208.9	16000
70	1958342	小片片说大片	影视	男	209	249	1364.4	36000
71	3066511	影视飓风	影视	男	200.9	443	1507	15000
72	7788379	阿彪影视	影视	男	167.5	605	2635.2	27000
73	96070394	1900影视	影视	男	101.5	265	1407.2	20000
74	452309333	二二酸酸	动画	男	155.4	443	2159.5	24000
75	450595813	泛式	动画	女	229.8	211	728.5	11000
76	94281836	火柴人	动画	男	198.2	771	2561.9	36000
77	176037767	畿加乘	动画	男	705.2	560	3951.7	85000
78	168598	利维坦	动画	男	538.8	842	3025.1	59000
79	470156882	星有野	动画	男	239.4	162	749.5	9901
80	5970160	远古黑金	动画	男	710.4	348	7103	109000
81	1019428	和猫住	动物圈	男	512.3	1100	5557.7	94000
82	5366990	熊乐乐	动物圈	女	348.3	424	1503.3	30000
83	13354765	泡芙	动物圈	男	715.5	268	5170.1	97000
84	116683	花小烙	舞蹈	女	365.5	202	890.7	33000
85	16539048	罗翔讲刑法	舞蹈	女	210.3	407	603.6	18000
86	375375	ooooooohmygosh	鬼畜	男	635	102	2645.7	51000
87	596324576	取经框看世界	音乐	男	157.8	156	792.5	5998.3
88	946974	叔贵	科技	男	362.6	961	1568.4	18000
89	57663924	沙盘上的战争	知识	男	632.9	671	5151	53000
90	26240675	soserious	游戏	男	246.2	769	2832.4	39000
91	147166910	小约翰可汗	生活	男	252.7	280	3598.6	24000
92	35359510	汪品先院士	科技	男	297.1	946	1259.3	28000
93	32624517	苏星河	时尚	男	206	399	836.3	11000
94	416128940	兔八哥	生活	男	258.7	165	1866.9	21000
95	79577853	小亮	知识	男	271.9	176	1004.7	10000
96	562197	小透明明tm	游戏	男	784.8	1480	6835.5	142000
97	62540916	半佛仙人	运动	女	861.3	501	1159.2	50000
98	415479453	稚辉君	美食	男	141.7	934	1492.3	24000
99	3046429	嘉然	音乐	女	192.9	757	1102.1	16000
100	27565758	-小D-biu	舞蹈	女	142	211	1266.6	17000
101	116683	咬人猫	舞蹈	女	430.5	149	1565	44000
